IID	ChipType
7360	chip_HTS_iSelect_HD
6971	chip_HTS_iSelect_HD
7156	chip_HTS_iSelect_HD
7322	chip_HTS_iSelect_HD
7214	chip_HTS_iSelect_HD
6981	chip_HTS_iSelect_HD
7475	chip_HTS_iSelect_HD
7089	chip_HTS_iSelect_HD
7285	chip_HTS_iSelect_HD
7229	chip_HTS_iSelect_HD
7761	chip_HTS_iSelect_HD
8202	chip_HTS_iSelect_HD
8301	chip_HTS_iSelect_HD
7954	chip_HTS_iSelect_HD
7636	chip_HTS_iSelect_HD
8090	chip_HTS_iSelect_HD
8363	chip_HTS_iSelect_HD
8387	chip_HTS_iSelect_HD
8403	chip_HTS_iSelect_HD
814	chip_HTS_iSelect_HD
7955	chip_HTS_iSelect_HD
7785	chip_HTS_iSelect_HD
8416	chip_HTS_iSelect_HD
7876	chip_HTS_iSelect_HD
9172	chip_HTS_iSelect_HD
8834	chip_HTS_iSelect_HD
8883	chip_HTS_iSelect_HD
8476	chip_HTS_iSelect_HD
8634	chip_HTS_iSelect_HD
9185	chip_HTS_iSelect_HD
8747	chip_HTS_iSelect_HD
9078	chip_HTS_iSelect_HD
8701	chip_HTS_iSelect_HD
8977	chip_HTS_iSelect_HD
9762	chip_HTS_iSelect_HD
9749	chip_HTS_iSelect_HD
9876	chip_HTS_iSelect_HD
9485	chip_HTS_iSelect_HD
9839	chip_HTS_iSelect_HD
9323	chip_HTS_iSelect_HD
9528	chip_HTS_iSelect_HD
9427	chip_HTS_iSelect_HD
10559	chip_Illumina_GSAs
10828	chip_Illumina_GSAs
1	chip_Illumina_GSAs
10765	chip_Illumina_GSAs
10074	chip_Illumina_GSAs
10171	chip_Illumina_GSAs
10926	chip_Illumina_GSAs
10142	chip_Illumina_GSAs
10388	chip_Illumina_GSAs
10583	chip_Illumina_GSAs
10141	chip_Illumina_GSAs
10868	chip_Illumina_GSAs
10507	chip_Illumina_GSAs
10420	chip_Illumina_GSAs
10279	chip_Illumina_GSAs
10195	chip_Illumina_GSAs
10302	chip_Illumina_GSAs
10885	chip_Illumina_GSAs
10986	chip_Illumina_GSAs
10523	chip_Illumina_GSAs
10620	chip_Illumina_GSAs
10123	chip_Illumina_GSAs
10497	chip_Illumina_GSAs
10325	chip_Illumina_GSAs
11008	chip_Illumina_GSAs
10233	chip_Illumina_GSAs
10702	chip_Illumina_GSAs
10477	chip_Illumina_GSAs
10781	chip_Illumina_GSAs
10770	chip_Illumina_GSAs
10919	chip_Illumina_GSAs
10077	chip_Illumina_GSAs
10339	chip_Illumina_GSAs
10191	chip_Illumina_GSAs
10207	chip_Illumina_GSAs
10020	chip_Illumina_GSAs
10967	chip_Illumina_GSAs
10469	chip_Illumina_GSAs
10080	chip_Illumina_GSAs
11669	chip_Illumina_GSAs
11796	chip_Illumina_GSAs
11441	chip_Illumina_GSAs
11087	chip_Illumina_GSAs
11388	chip_Illumina_GSAs
11819	chip_Illumina_GSAs
11698	chip_Illumina_GSAs
11141	chip_Illumina_GSAs
11822	chip_Illumina_GSAs
11425	chip_Illumina_GSAs
11128	chip_Illumina_GSAs
11802	chip_Illumina_GSAs
11509	chip_Illumina_GSAs
11529	chip_Illumina_GSAs
1885	chip_Illumina_GSAs
3540	chip_Illumina_GSAs
3448	chip_Illumina_GSAs
6617	chip_Illumina_GSAs
6866	chip_Illumina_GSAs
6639	chip_Illumina_GSAs
656	chip_Illumina_GSAs
6805	chip_Illumina_GSAs
6545	chip_Illumina_GSAs
6483	chip_Illumina_GSAs
6829	chip_Illumina_GSAs
6731	chip_Illumina_GSAs
6873	chip_Illumina_GSAs
6851	chip_Illumina_GSAs
6734	chip_Illumina_GSAs
6363	chip_Illumina_GSAs
6889	chip_Illumina_GSAs
6810	chip_Illumina_GSAs
6613	chip_Illumina_GSAs
6677	chip_Illumina_GSAs
6699	chip_Illumina_GSAs
6560	chip_Illumina_GSAs
6745	chip_Illumina_GSAs
6812	chip_Illumina_GSAs
6791	chip_Illumina_GSAs
6943	chip_Illumina_GSAs
7358	chip_Illumina_GSAs
6985	chip_Illumina_GSAs
7098	chip_Illumina_GSAs
7199	chip_Illumina_GSAs
7320	chip_Illumina_GSAs
7610	chip_Illumina_GSAs
7082	chip_Illumina_GSAs
7080	chip_Illumina_GSAs
7266	chip_Illumina_GSAs
7198	chip_Illumina_GSAs
7359	chip_Illumina_GSAs
7092	chip_Illumina_GSAs
6910	chip_Illumina_GSAs
7047	chip_Illumina_GSAs
7312	chip_Illumina_GSAs
7119	chip_Illumina_GSAs
7218	chip_Illumina_GSAs
7114	chip_Illumina_GSAs
6936	chip_Illumina_GSAs
7379	chip_Illumina_GSAs
7450	chip_Illumina_GSAs
7382	chip_Illumina_GSAs
7280	chip_Illumina_GSAs
7485	chip_Illumina_GSAs
6952	chip_Illumina_GSAs
7504	chip_Illumina_GSAs
7292	chip_Illumina_GSAs
7252	chip_Illumina_GSAs
7072	chip_Illumina_GSAs
7153	chip_Illumina_GSAs
7232	chip_Illumina_GSAs
7144	chip_Illumina_GSAs
7336	chip_Illumina_GSAs
7466	chip_Illumina_GSAs
