2080	2080
2083	2083
2090	2090
2096	2096
2099	2099
210	210
2116	2116
215	215
2151	2151
2158	2158
216	216
2162	2162
2166	2166
2177	2177
2183	2183
22	22
2202	2202
2212	2212
2214	2214
2217	2217
2238	2238
2249	2249
2274	2274
2276	2276
2278	2278
2288	2288
2291	2291
2307	2307
2314	2314
2329	2329
2334	2334
2339	2339
2350	2350
2356	2356
2361	2361
2362	2362
2367	2367
2371	2371
2385	2385
2402	2402
241	241
2412	2412
2421	2421
2453	2453
2454	2454
2455	2455
2456	2456
2457	2457
2498	2498
251	251
2510	2510
2512	2512
2516	2516
252	252
253	253
2542	2542
2554	2554
2557	2557
2558	2558
2568	2568
2576	2576
26	26
2633	2633
2635	2635
2648	2648
266	266
2660	2660
2676	2676
2677	2677
268	268
2681	2681
2687	2687
2692	2692
2702	2702
2718	2718
2720	2720
2739	2739
2740	2740
2751	2751
2755	2755
2759	2759
276	276
2764	2764
279	279
2794	2794
2797	2797
2826	2826
2841	2841
2849	2849
285	285
2858	2858
2860	2860
287	287
2874	2874
2881	2881
2886	2886
2890	2890
2891	2891
2898	2898
2901	2901
2907	2907
2920	2920
295	295
2958	2958
296	296
2964	2964
2969	2969
2980	2980
2990	2990
2998	2998
3004	3004
3018	3018
3034	3034
3046	3046
3069	3069
3078	3078
3080	3080
3090	3090
3104	3104
311	311
3111	3111
3113	3113
3129	3129
3130	3130
3137	3137
3140	3140
3145	3145
3158	3158
3167	3167
3176	3176
3179	3179
319	319
3193	3193
3196	3196
3197	3197
3206	3206
3211	3211
3216	3216
3227	3227
323	323
3244	3244
3248	3248
325	325
3257	3257
3265	3265
3275	3275
328	328
3280	3280
3289	3289
330	330
3304	3304
3306	3306
3320	3320
3321	3321
3324	3324
3326	3326
3340	3340
3341	3341
3343	3343
3344	3344
337	337
3381	3381
3394	3394
3399	3399
3404	3404
341	341
3415	3415
3417	3417
3422	3422
3449	3449
345	345
3454	3454
347	347
3478	3478
3486	3486
3489	3489
349	349
3494	3494
3499	3499
35	35
